Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Marco Verratti,"PSG,",", M(C)",20(1),1614,-,-,8,1,0.2,92.8,0.5,-,6.98
Azor Matusiwa,"Reims,",", DMC",21(1),1809,-,-,3,-,0.3,85.7,1.1,-,6.97
Ibañez,"Roma,",", D(C)",26,2282,3,-,8,1,0.8,88,1.9,1,6.97
Domenico Berardi,"Sassuolo,",", AM(R),FW",14(3),1177,6,5,5,-,3.4,72,0.5,3,6.97
Ilkay Gündogan,"Man City,",", M(C)",20(4),1759,3,3,-,-,1.7,86.7,0.7,-,6.97
Yunis Abdelhamid,"Reims,",", D(C)",28,2520,1,1,3,-,0.9,82.6,2.3,1,6.97
Carlos Augusto,"Monza,",", D(L),M(L)",24,2097,5,4,2,-,1.2,85,1.5,2,6.97
Benjamin Bourigeaud,"Rennes,",", M(CLR)",27,2213,3,6,2,1,1.6,79.6,0.3,2,6.97
Jonathan Clauss,"Marseille,",", D(R),M(LR)",22(2),1783,1,8,1,-,1.3,75.3,0.3,2,6.97
Folarin Balogun,"Reims,",", FW",24(3),2130,17,1,3,-,3.2,70.1,0.4,4,6.97
Son Heung-Min,"Tottenham,",", M(CLR),FW",23(3),2032,6,4,1,-,2.4,81.4,0.3,2,6.97
Nicolás Tagliafico,"Lyon,",", D(CL),M(L)",26,2319,1,3,4,-,0.6,86.9,1.2,1,6.97
Amine Gouiri,"Rennes,",", AM(L),FW",20(3),1706,9,1,2,-,2.1,81.4,0.8,-,6.97
Nicolas Pépé,"Nice,",", AM(LR),FW",15(2),1349,6,-,2,-,2.5,81.4,0.4,1,6.96
Mohamed Camara,"Monaco,",", DMC",18(2),1568,-,3,4,1,1,87.8,0.6,1,6.96
Thiago,"Liverpool,",", M(C)",14,1158,-,-,2,-,0.6,86.2,1,1,6.96
Nuno Tavares,"Marseille,",", D(L),M(L)",20(4),1938,6,-,4,1,2.1,79.3,0.8,1,6.96
Jules Koundé,"Barcelona,",", D(CR)",17(1),1483,-,2,1,-,0.4,89.1,1.3,1,6.96
Pascal Groß,"Brighton,",", D(R),M(CR),FW",25,2187,6,4,2,-,0.9,84.7,0.2,2,6.96
Rony Lopes,"Troyes,",", AM(CLR),FW",22(2),1740,5,5,2,-,1.9,74.1,0.5,2,6.96
Destiny Udogie,"Udinese,",", M(L)",23,2009,3,3,4,-,1,81.7,0.4,-,6.96
Kepa Arrizabalaga,"Chelsea,",", GK",19,1666,-,-,1,-,-,82.8,0.4,2,6.96
Declan Rice,"West Ham,",", D(C),DMC",26,2340,2,2,4,-,1,89.2,1,1,6.96
Ademola Lookman,"Atalanta,",", AM(CLR),FW",19(7),1546,12,4,3,-,1.8,78.2,0.1,1,6.96
Philipp Hofmann,"Bochum,",", FW",22(3),1907,7,1,3,-,1.4,59,6,3,6.96
Marshall Munetsi,"Reims,",", D(C),M(C)",21(3),1852,5,3,4,-,2,73.9,1.9,-,6.96
Przemyslaw Frankowski,"Lens,",", D(R),M(CLR)",22(6),2044,2,2,1,-,0.8,82.4,0.4,2,6.96
Granit Xhaka,"Arsenal,",", D(L),M(C)",27(1),2300,4,5,4,-,1,86.3,1.1,1,6.96
Jonathan Bamba,"Lille,",", AM(CLR),FW",22(2),1979,5,5,5,-,2.2,83.5,0.7,1,6.96
Habib Diallo,"Strasbourg,",", AM(R),FW",23(5),2076,14,-,2,-,2.2,67.8,3.2,3,6.95
Matthias Ginter,"Freiburg,",", D(CR),DMC",25,2250,3,1,3,-,0.5,83,3.6,-,6.95
Christoph Baumgartner,"Hoffenheim,",", AM(CLR),FW",24,1919,5,3,5,-,2.2,67.9,2,1,6.95
Aurélien Tchouaméni,"Real Madrid,",", DMC",15(6),1266,-,3,1,-,1,93.6,1.6,1,6.95
Marco Reus,"Borussia Dortmund,",", M(CLR),FW",13(3),1102,6,4,2,-,1.8,80.9,0.5,1,6.95
Anton Stach,"Mainz,",", M(C)",16(6),1525,1,3,4,-,1.3,70.6,2.8,1,6.95
Alisson,"Liverpool,",", GK",26,2340,-,1,-,-,-,83.8,0.2,2,6.95
Stanislav Lobotka,"Napoli,",", DMC",25(2),2274,1,1,1,-,0.3,94.5,0.3,-,6.95
Dani Olmo,"RBL,",", AM(CLR),FW",10(5),774,2,4,1,-,2,76.5,0.3,2,6.95
Roberto Pereyra,"Udinese,",", M(CLR),FW",23(1),1947,4,6,4,-,1.4,83.2,0.1,3,6.95
James Tarkowski,"Everton,",", D(C)",28,2520,1,1,6,-,0.8,82.4,3,1,6.95
Oleksandr Zinchenko,"Arsenal,",", D(L),M(CLR)",20(1),1666,1,2,2,-,1.1,88.2,1.7,1,6.94
Valentin Rongier,"Marseille,",", D(R),M(C)",25(2),2224,1,-,6,-,0.5,88.1,1.2,-,6.94
José Giménez,"Atletico,",", D(CR)",15(2),1431,1,-,7,-,0.9,86.6,1.9,2,6.94
Bernardo Silva,"Man City,",", M(CLR),FW",20(5),1785,4,5,3,-,0.8,88.8,0.1,-,6.94
Gianluigi Donnarumma,"PSG,",", GK",28,2520,-,-,2,-,-,83.2,0.3,2,6.94
Wataru Endo,"Stuttgart,",", DMC",24,2115,3,2,-,-,1.4,78.5,2.1,-,6.94
Stefan Posch,"Bologna,",", D(CR)",20,1722,4,1,1,-,0.9,75.7,0.9,4,6.93
Gerard Moreno,"Villarreal,",", AM(CR),FW",13(3),1069,6,2,4,-,2.1,74,1,1,6.93
Breel Embolo,"Monaco,",", AM(CR),FW",19(9),1757,12,2,2,-,1.3,69.7,1.1,1,6.93
Jaka Bijol,"Udinese,",", D(C),M(C),FW",22,1836,3,1,6,-,0.6,84.6,2.7,2,6.93
Chancel Mbemba,"Marseille,",", D(CLR),DMC",26(1),2288,4,-,2,-,0.9,84.6,2,1,6.93
Lucas Robertone,"Almeria,",", AM(C)",24(1),1936,1,5,6,-,1,82,0.7,2,6.93
Tetê,"Lyon,",", AM(R)",14(3),1114,6,2,3,-,1.8,81.7,0.2,2,6.93
Youssouf Fofana,"Monaco,",", DMC",26(1),2291,1,1,1,1,1.1,82.2,0.9,-,6.93
Marcus Tavernier,"Bournemouth,",", M(CLR)",16(1),1373,3,4,1,-,1.6,76.3,0.8,2,6.93
Manuel Locatelli,"Juventus,",", M(C)",21(2),1802,-,-,6,-,1,81.7,1.2,-,6.93
Virgil van Dijk,"Liverpool,",", D(C)",22,1936,3,-,1,-,1,89.5,2.5,1,6.93
Roberto Firmino,"Liverpool,",", M(CLR),FW",11(8),1033,8,4,-,-,1.8,80.3,0.7,2,6.93
Trent Alexander-Arnold,"Liverpool,",", D(R),M(R)",23(3),1942,1,2,3,-,1,77.2,0.5,1,6.93
Ramy Bensebaïni,"Borussia M.Gladbach,",", D(CL),DMC,M(L)",21,1878,5,-,3,1,1.4,77,2.6,1,6.93
Bremer,"Juventus,",", D(C)",23,2021,3,1,5,-,0.9,89.7,2.3,2,6.93
Lukas Kübler,"Freiburg,",", D(CR),M(R)",14,1197,2,-,-,-,0.4,71.1,1.1,-,6.93
Riyad Mahrez,"Man City,",", AM(CLR),FW",12(7),1064,5,4,2,-,1.5,88.7,0.3,2,6.92
